電子通路            | 3C通路商
電腦周邊            | 3D印表機
網通設備            | 4G通訊設備
網通設備            | 5G通訊設備
載板              | ABF載板
AI伺服器           | AI伺服器
AI晶片            | ASIC
AI伺服器           | ASIC伺服器
電源供應器           | BBU
載板              | BGA基板
MCU/嵌入式         | BIOS
感測/影像IC         | CMOS晶片
AI晶片            | CPU
連接器             | CPU SOCKET
連接器             | DISPLAYPORT
記憶體             | DRAM
記憶體             | DRAM模組
記憶體             | DRAM記憶體IC
通訊IC            | DSL晶片組
AI晶片            | DSP
記憶體             | FLASH模組
記憶體             | FLASH記憶體IC
PCB             | HDI板
載板              | IC基板
IC封裝            | IC封裝
IC封裝            | IC封裝測試
IC封裝            | IC測試
晶圓代工            | IC生產
晶圓代工            | IC製造
IC設計軟體          | IC設計
IC設計軟體          | IC設計軟體
(無)             | IC讀卡機
電子通路            | IC零組件通路商
軟體/雲端           | INTERNET應用與服務
軟體/雲端           | INTERNET技術與基礎設施
MCU/嵌入式         | IO控制IC
電腦周邊            | KIOSK自助服務機
PMIC/電源IC       | LCD控制IC
面板              | LCD顯示器
PMIC/電源IC       | LCD驅動IC
PMIC/電源IC       | LCD驅動IC封裝
面板              | LCM
LED             | LED
LED             | LED封裝
LED             | LED散熱基板
LED             | LED晶粒
LED             | LED照明產品
LED             | LED磊晶
半導體設備           | LED設備
PMIC/電源IC       | LED驅動IC
MCU/嵌入式         | MCU
感測/影像IC         | MEMS
LED             | MICROLED
被動元件            | MLCC
面板              | OLED
PCB             | PCB材料
半導體設備           | PCB相關設備
MCU/嵌入式         | PC週邊IC
遊戲/電競           | PC遊戲
電腦周邊            | POS機系統
太陽能             | PV INVERTER
網通設備            | RFID相關
記憶體             | SRAM記憶體IC
記憶體             | SSD控制IC
面板              | TFT-LCD
連接器             | THUNDERBOLT
面板              | TN／STN LCD
通訊IC            | USB IC
面板              | 中小尺吋面板
軟體/雲端           | 串流媒體
AI伺服器           | 主機板
(無)             | 事務機器
功率半導體           | 二極體
軟體/雲端           | 人力資源網站
軟體/雲端           | 人工智慧
生物辨識            | 人臉辨識
軟體/雲端           | 企業資源規劃
AI伺服器           | 伺服器
AI伺服器           | 伺服器機殼
散熱              | 伺服器用散熱模組
(無)             | 低軌道衛星
衛星通訊            | 低雜訊降頻器
面板              | 偏光板
連接器             | 傳輸介面
電腦周邊            | 儲存設備
電池              | 儲能設備
光學/相機           | 光學元件
面板              | 光學膜
光學/相機           | 光學鏡片／頭
PMIC/電源IC       | 光碟機驅動IC
電腦周邊            | 光碟機／燒錄機
(無)             | 光碟片
光通訊             | 光纖主動元件
光通訊             | 光纖光纜
光通訊             | 光纖被動元件
光通訊             | 光纖設備
光通訊             | 光纖零組件
半導體材料           | 光罩
光通訊             | 光通訊
通訊IC            | 光通訊IC
晶圓代工            | 光通訊元件磊晶
半導體材料           | 光阻劑
MCU/嵌入式         | 其他IC
半導體材料           | 其他半導體耗材
散熱              | 其他散熱零件
(無)             | 其他電子零件
功率半導體           | 分離式元件
通訊IC            | 功率放大器
晶圓代工            | 化合物晶圓
(無)             | 化學氣相沈積設備
網通設備            | 區域網路
半導體材料           | 半導體化學品
電子通路            | 半導體材料通路商
半導體設備           | 半導體製程設備
機器人/自動化         | 協作機器人
遊戲/電競           | 博奕機台
PCB             | 印刷電路板
PCB             | 印刷電路板相關
電腦周邊            | 印表機
電腦周邊            | 印表機耗材
音響/耳機           | 受話器
遊戲/電競           | 商用遊戲機
電子製造服務          | 塑膠射出
被動元件            | 塑膠薄膜電容
被動元件            | 壓敏電阻
衛星通訊            | 多軌道衛星
網通設備            | 天線
太陽能             | 太陽能
太陽能             | 太陽能導電漿
太陽能             | 太陽能矽晶圓
太陽能             | 太陽能系統運用
太陽能             | 太陽能電池
