stock_id,meta_sector,sub_sector,source_note
1504,消費電子,消費性電子產品,既有手動校正遷移
1560,半導體材料,研磨材料,既有手動校正遷移
1604,消費電子,消費性電子產品,既有手動校正遷移
1614,消費電子,消費性電子產品,既有手動校正遷移
1785,半導體材料,濺鍍靶材,既有手動校正遷移
2308,電源供應器,電源供應器,既有手動校正遷移
2313,PCB,印刷電路板,既有手動校正遷移
2323,其他電子,光碟片,既有手動校正遷移
2328,連接器,線材連接器,既有手動校正遷移
2337,記憶體,FLASH記憶體IC,既有手動校正遷移
2338,半導體材料,光罩,既有手動校正遷移
2344,記憶體,DRAM記憶體IC,既有手動校正遷移
2371,消費電子,消費性電子產品,既有手動校正遷移
2379,通訊IC,網路通訊IC,既有手動校正遷移
2408,記憶體,DRAM記憶體IC,既有手動校正遷移
2412,電信,電信服務,既有手動校正遷移
2455,光通訊,光通訊,財報狗題材:光通訊
2467,先進封裝設備,半導體製程設備,既有手動校正遷移
3017,散熱,散熱模組,既有手動校正遷移
3045,電信,電信服務,既有手動校正遷移
3081,光通訊,光通訊,財報狗題材:光通訊
3131,先進封裝設備,封測用設備,既有手動校正遷移
3321,PCB,印刷電路板,既有手動校正遷移
3406,光學/相機,光學元件,既有手動校正遷移
3521,其他電子,其他電子零件,既有手動校正遷移
3532,半導體材料,磊晶矽晶圓,既有手動校正遷移
3583,先進封裝設備,半導體製程設備,既有手動校正遷移
3663,半導體材料,SiC基板,既有手動校正遷移
3675,功率半導體,分離式元件,既有手動校正遷移
3680,先進封裝設備,半導體製程設備,既有手動校正遷移
3704,網通設備,網通設備,既有手動校正遷移
4503,工業電腦,工業電腦,既有手動校正遷移
4904,電信,電信服務,既有手動校正遷移
4905,電信,電信服務,既有手動校正遷移
4919,MCU/嵌入式,MCU,既有手動校正遷移
4971,半導體設備,半導體製程設備,既有手動校正遷移
4991,光通訊,光通訊,財報狗題材:光通訊
5258,工業電腦,工業電腦,既有手動校正遷移
5443,先進封裝設備,封測用設備,既有手動校正遷移
5483,半導體材料,矽晶圓,既有手動校正遷移
5490,工業電腦,工業電腦,既有手動校正遷移
6182,半導體材料,矽晶圓,既有手動校正遷移
6187,先進封裝設備,封測用設備,既有手動校正遷移
6206,工業電腦,工業電腦,既有手動校正遷移
6442,光通訊,光通訊,財報狗題材:光通訊
6462,感測/影像IC,感測元件,既有手動校正遷移
6488,半導體材料,矽晶圓,既有手動校正遷移
6640,先進封裝設備,封測用設備,既有手動校正遷移
6664,先進封裝設備,PCB相關設備,既有手動校正遷移
6835,PCB,印刷電路板,既有手動校正遷移
7734,先進封裝設備,封測用設備,既有手動校正遷移
8076,工業電腦,工業電腦,既有手動校正遷移
8114,工業電腦,工業電腦,既有手動校正遷移
9917,其他電子,其他電子零件,既有手動校正遷移
9925,其他電子,其他電子零件,既有手動校正遷移
